"time","norm_time","src_id","ui_id","tgt_len","user_id"
"51032","2218","0","ui2","26","17"
"150332","4295","1","ui2","34","17"
"109850","4394","2","ui2","29","17"
"91031","5057","3","ui2","20","17"
"54501","2595","4","ui2","20","17"
"42471","1930","5","ui2","24","17"
"92850","3714","6","ui2","31","17"
"71965","2767","7","ui2","30","17"
"118312","6572","8","ui2","27","17"
"67740","4838","9","ui2","12","17"
"83771","5235","10","ui2","25","17"
"150503","6543","11","ui2","26","17"
"71900","3126","12","ui2","31","17"
"48577","2428","13","ui2","20","17"
"233476","5694","14","ui1","43","17"
"78785","4146","15","ui1","21","17"
"69878","3038","16","ui1","22","17"
"311231","7237","17","ui1","47","17"
"103974","3713","18","ui1","36","17"
"199588","7392","19","ui1","30","17"
"48733","4061","20","ui1","10","17"
"78980","3290","21","ui1","23","17"
"69120","4937","22","ui1","17","17"
"69451","4960","23","ui1","15","17"
"103038","4479","24","ui1","24","17"
"52274","3733","25","ui1","16","17"
"102900","6860","26","ui1","18","17"
"122189","5312","0","ui2","20","19"
"209691","5991","1","ui2","37","19"
"238992","9559","2","ui2","29","19"
"109910","6106","3","ui2","14","19"
"106889","5089","4","ui2","17","19"
"59570","2707","5","ui2","24","19"
"364388","14575","6","ui2","40","19"
"358889","13803","7","ui2","35","19"
"152778","8487","8","ui2","25","19"
"132205","9443","9","ui2","12","19"
"146700","9168","10","ui2","21","19"
"248876","10820","11","ui2","32","19"
"156994","6825","12","ui2","32","19"
"172317","8615","13","ui2","21","19"
"316087","7709","14","ui1","40","19"
"169612","8926","15","ui1","20","19"
"182998","7956","16","ui1","21","19"
"289461","6731","17","ui1","39","19"
"143334","5119","18","ui1","28","19"
"257668","9543","19","ui1","30","19"
"81785","6815","20","ui1","10","19"
"154009","6417","21","ui1","27","19"
"112369","8026","22","ui1","16","19"
"119683","8548","23","ui1","18","19"
"196426","8540","24","ui1","22","19"
"101834","7273","25","ui1","16","19"
"96095","6406","26","ui1","17","19"
"97606","4243","0","ui2","26","20"
"94815","2709","1","ui2","37","20"
"136864","5474","2","ui2","28","20"
"65772","3654","3","ui2","18","20"
"52750","2511","4","ui2","20","20"
"35879","1630","5","ui2","25","20"
"162166","6486","6","ui2","32","20"
"97653","3755","7","ui2","34","20"
"91622","5090","8","ui2","28","20"
"108050","7717","9","ui2","17","20"
"61025","3814","10","ui2","25","20"
"52068","2263","11","ui2","30","20"
"58437","2540","12","ui2","32","20"
"88982","4449","13","ui2","22","20"
"308603","7526","14","ui1","46","20"
"95656","5034","15","ui1","25","20"
"104685","4551","16","ui1","22","20"
"295494","6871","17","ui1","45","20"
"212812","7600","18","ui1","36","20"
"273798","10140","19","ui1","28","20"
"91902","7658","20","ui1","10","20"
"127115","5296","21","ui1","28","20"
"70457","5032","22","ui1","16","20"
"122611","8757","23","ui1","17","20"
"148211","6443","24","ui1","27","20"
"102217","7301","25","ui1","16","20"
"125044","8336","26","ui1","19","20"
"89058","3872","0","ui2","24","21"
"157506","4500","1","ui2","32","21"
"146693","5867","2","ui2","27","21"
"81650","4536","3","ui2","18","21"
"147148","7007","4","ui2","21","21"
"64848","2947","5","ui2","24","21"
"223343","8933","6","ui2","34","21"
"138454","5325","7","ui2","34","21"
"115455","6414","8","ui2","27","21"
"101295","7235","9","ui2","16","21"
"133283","8330","10","ui2","24","21"
"245720","10683","11","ui2","30","21"
"300782","13077","12","ui2","31","21"
"90045","4502","13","ui2","20","21"
"271200","6614","14","ui1","42","21"
"231687","12194","15","ui1","21","21"
"74890","3256","16","ui1","23","21"
"110161","2561","17","ui1","42","21"
"204242","7294","18","ui1","30","21"
"235820","8734","19","ui1","28","21"
"58952","4912","20","ui1","14","21"
"154257","6427","21","ui1","24","21"
"98858","7061","22","ui1","16","21"
"79800","5700","23","ui1","19","21"
"123755","5380","24","ui1","25","21"
"103897","7421","25","ui1","16","21"
"109208","7280","26","ui1","18","21"
"59163","2572","0","ui2","24","26"
"106904","3054","1","ui2","35","26"
"166091","6643","2","ui2","31","26"
"157377","8743","3","ui2","17","26"
"114267","5441","4","ui2","21","26"
"76029","3455","5","ui2","25","26"
"145580","5823","6","ui2","36","26"
"243789","9376","7","ui2","37","26"
"199985","11110","8","ui2","24","26"
"149009","10643","9","ui2","16","26"
"140005","8750","10","ui2","24","26"
"134074","5829","11","ui2","30","26"
"41785","1816","12","ui2","32","26"
"83813","4190","13","ui2","21","26"
"420419","10254","14","ui1","46","26"
"212045","11160","15","ui1","21","26"
"225912","9822","16","ui1","19","26"
"371494","8639","17","ui1","38","26"
"196450","7016","18","ui1","29","26"
"206686","7655","19","ui1","30","26"
"101183","8431","20","ui1","12","26"
"318142","13255","21","ui1","26","26"
"74574","5326","22","ui1","14","26"
"119694","8549","23","ui1","16","26"
"276917","12039","24","ui1","24","26"
"116871","8347","25","ui1","16","26"
"179232","11948","26","ui1","18","26"
"33640","1462","0","ui2","26","29"
"276350","7895","1","ui2","37","29"
"177774","7110","2","ui2","39","29"
"98426","5468","3","ui2","19","29"
"49490","2356","4","ui2","24","29"
"13761","625","5","ui2","25","29"
"175842","7033","6","ui2","34","29"
"186313","7165","7","ui2","33","29"
"133999","7444","8","ui2","33","29"
"61269","4376","9","ui2","13","29"
"57844","3615","10","ui2","24","29"
"113497","4934","11","ui2","39","29"
"67823","2948","12","ui2","32","29"
"73671","3683","13","ui2","23","29"
"449645","10966","14","ui1","52","29"
"220100","11584","15","ui1","21","29"
"142109","6178","16","ui1","22","29"
"265360","6171","17","ui1","47","29"
"100708","3596","18","ui1","29","29"
"207020","7667","19","ui1","33","29"
"79627","6635","20","ui1","11","29"
"189420","7892","21","ui1","24","29"
"98622","7044","22","ui1","17","29"
"72601","5185","23","ui1","18","29"
"124076","5394","24","ui1","28","29"
"70824","5058","25","ui1","20","29"
"96965","6464","26","ui1","18","29"
"40696","1769","0","ui2","24","30"
"88462","2527","1","ui2","36","30"
"92482","3699","2","ui2","26","30"
"59146","3285","3","ui2","18","30"
"69826","3325","4","ui2","20","30"
"48441","2201","5","ui2","21","30"
"130668","5226","6","ui2","37","30"
"137730","5297","7","ui2","31","30"
"64019","3556","8","ui2","26","30"
"51393","3670","9","ui2","16","30"
"115719","7232","10","ui2","21","30"
"89667","3898","11","ui2","30","30"
"65827","2862","12","ui2","32","30"
"57539","2876","13","ui2","25","30"
"161982","3950","14","ui1","48","30"
"66847","3518","15","ui1","21","30"
"103657","4506","16","ui1","22","30"
"149350","3473","17","ui1","40","30"
"114513","4089","18","ui1","32","30"
"134591","4984","19","ui1","28","30"
"52474","4372","20","ui1","12","30"
"101484","4228","21","ui1","24","30"
"50223","3587","22","ui1","17","30"
"111649","7974","23","ui1","14","30"
"132007","5739","24","ui1","26","30"
"58005","4143","25","ui1","16","30"
"123308","8220","26","ui1","20","30"
"67187","2921","0","ui2","25","31"
"157642","4504","1","ui2","36","31"
"94920","3796","2","ui2","27","31"
"99574","5531","3","ui2","17","31"
"113726","5415","4","ui2","22","31"
"94034","4274","5","ui2","24","31"
"223369","8934","6","ui2","38","31"
"276279","10626","7","ui2","33","31"
"187223","10401","8","ui2","18","31"
"154791","11056","9","ui2","14","31"
"144423","9026","10","ui2","25","31"
"82422","3583","11","ui2","30","31"
"132975","5781","12","ui2","33","31"
"87759","4387","13","ui2","20","31"
"435487","10621","14","ui1","50","31"
"95738","5038","15","ui1","20","31"
"189858","8254","16","ui1","21","31"
"342978","7976","17","ui1","41","31"
"185980","6642","18","ui1","30","31"
"157887","5847","19","ui1","28","31"
"46065","3838","20","ui1","10","31"
"129628","5401","21","ui1","24","31"
"110656","7904","22","ui1","17","31"
"83531","5966","23","ui1","15","31"
"109557","4763","24","ui1","27","31"
"118024","8430","25","ui1","16","31"
"59499","3966","26","ui1","17","31"
"57581","2503","0","ui2","25","32"
"140766","4021","1","ui2","39","32"
"168136","6725","2","ui2","32","32"
"214995","11944","3","ui2","18","32"
"52385","2494","4","ui2","25","32"
"110646","5029","5","ui2","27","32"
"416907","16676","6","ui2","35","32"
"181151","6967","7","ui2","36","32"
"182503","10139","8","ui2","28","32"
"213950","15282","9","ui2","18","32"
"147273","9204","10","ui2","23","32"
"156296","6795","11","ui2","31","32"
"258223","11227","12","ui2","39","32"
"52979","2648","13","ui2","20","32"
"334429","8156","14","ui1","45","32"
"126084","6636","15","ui1","22","32"
"122089","5308","16","ui1","22","32"
"180495","4197","17","ui1","39","32"
"287583","10270","18","ui1","25","32"
"137735","5101","19","ui1","33","32"
"49779","4148","20","ui1","10","32"
"265692","11070","21","ui1","25","32"
"131399","9385","22","ui1","19","32"
"187946","13424","23","ui1","16","32"
"151385","6581","24","ui1","25","32"
"137620","9830","25","ui1","21","32"
"179176","11945","26","ui1","19","32"
"113137","4919","0","ui2","27","37"
"252805","7223","1","ui2","38","37"
"90914","3636","2","ui2","30","37"
"87452","4858","3","ui2","18","37"
"108368","5160","4","ui2","23","37"
"129363","5880","5","ui2","26","37"
"271735","10869","6","ui2","33","37"
"426336","16397","7","ui2","41","37"
"156664","8703","8","ui2","26","37"
"153340","10952","9","ui2","16","37"
"126388","7899","10","ui2","21","37"
"146623","6374","11","ui2","31","37"
"110928","4822","12","ui2","30","37"
"104321","5216","13","ui2","22","37"
"466003","11365","14","ui1","43","37"
"76888","4046","15","ui1","24","37"
"155143","6745","16","ui1","22","37"
"328141","7631","17","ui1","42","37"
"111185","3970","18","ui1","29","37"
"148400","5496","19","ui1","32","37"
"53793","4482","20","ui1","9","37"
"143056","5960","21","ui1","25","37"
"91080","6505","22","ui1","18","37"
"66751","4767","23","ui1","14","37"
"146382","6364","24","ui1","24","37"
"74063","5290","25","ui1","17","37"
"71657","4777","26","ui1","18","37"
"30887","1342","0","ui2","25","41"
"102618","2931","1","ui2","34","41"
"76302","3052","2","ui2","27","41"
"40572","2254","3","ui2","16","41"
"66485","3165","4","ui2","20","41"
"28642","1301","5","ui2","24","41"
"79453","3178","6","ui2","39","41"
"82620","3177","7","ui2","34","41"
"66531","3696","8","ui2","22","41"
"24242","1731","9","ui2","16","41"
"88878","5554","10","ui2","25","41"
"82609","3591","11","ui2","32","41"
"37906","1648","12","ui2","32","41"
"28146","1407","13","ui2","20","41"
"180033","4391","14","ui1","49","41"
"52733","2775","15","ui1","22","41"
"98562","4285","16","ui1","21","41"
"135654","3154","17","ui1","44","41"
"103261","3687","18","ui1","30","41"
"81564","3020","19","ui1","30","41"
"32205","2683","20","ui1","11","41"
"57905","2412","21","ui1","24","41"
"64430","4602","22","ui1","17","41"
"30596","2185","23","ui1","14","41"
"107604","4678","24","ui1","28","41"
"47785","3413","25","ui1","17","41"
"66588","4439","26","ui1","19","41"
"96025","4175","0","ui2","24","52"
"151934","4340","1","ui2","35","52"
"133186","5327","2","ui2","30","52"
"106517","5917","3","ui2","17","52"
"64907","3090","4","ui2","20","52"
"128335","5833","5","ui2","27","52"
"183100","7324","6","ui2","31","52"
"170835","6570","7","ui2","35","52"
"190579","10587","8","ui2","23","52"
"150882","10777","9","ui2","16","52"
"178231","11139","10","ui2","26","52"
"97811","4252","11","ui2","26","52"
"190611","8287","12","ui2","35","52"
"117063","5853","13","ui2","20","52"
"313009","7634","14","ui1","45","52"
"94935","4996","15","ui1","22","52"
"221562","9633","16","ui1","23","52"
"292806","6809","17","ui1","44","52"
"158249","5651","18","ui1","30","52"
"274078","10151","19","ui1","34","52"
"34068","2839","20","ui1","9","52"
"148413","6183","21","ui1","25","52"
"113801","8128","22","ui1","18","52"
"103358","7382","23","ui1","17","52"
"138207","6009","24","ui1","23","52"
"78330","5595","25","ui1","15","52"
"102904","6860","26","ui1","21","52"
"51311","2230","0","ui2","25","7"
"115193","3291","1","ui2","35","7"
"107429","4297","2","ui2","30","7"
"90832","5046","3","ui2","19","7"
"23943","1140","4","ui2","22","7"
"35431","1610","5","ui2","23","7"
"259606","10384","6","ui2","33","7"
"263469","10133","7","ui2","31","7"
"159085","8838","8","ui2","29","7"
"148938","10638","9","ui2","13","7"
"224952","14059","10","ui2","21","7"
"275206","11965","11","ui2","32","7"
"158623","6896","12","ui2","34","7"
"167700","8385","13","ui2","21","7"
"360890","8802","14","ui1","41","7"
"74112","3900","15","ui1","20","7"
"95126","4135","16","ui1","18","7"
"231469","5383","17","ui1","43","7"
"73812","2636","18","ui1","27","7"
"190543","7057","19","ui1","29","7"
"43117","3593","20","ui1","10","7"
"71616","2984","21","ui1","19","7"
"66448","4746","22","ui1","18","7"
"111852","7989","23","ui1","13","7"
"424849","18471","24","ui1","25","7"
"133765","9554","25","ui1","17","7"
"126551","8436","26","ui1","14","7"
"33223","1444","0","ui2","25","8"
"85816","2451","1","ui2","40","8"
"44023","1760","2","ui2","27","8"
"48758","2708","3","ui2","16","8"
"39056","1859","4","ui2","23","8"
"20645","938","5","ui2","25","8"
"130109","5204","6","ui2","31","8"
"98246","3778","7","ui2","32","8"
"64315","3573","8","ui2","21","8"
"90615","6472","9","ui2","16","8"
"33407","2087","10","ui2","22","8"
"115062","5002","11","ui2","30","8"
"47948","2084","12","ui2","31","8"
"19920","996","13","ui2","21","8"
"230296","5616","14","ui1","50","8"
"81611","4295","15","ui1","22","8"
"131749","5728","16","ui1","23","8"
"279736","6505","17","ui1","42","8"
"96946","3462","18","ui1","25","8"
"156590","5799","19","ui1","34","8"
"59859","4988","20","ui1","10","8"
"90902","3787","21","ui1","23","8"
"115318","8237","22","ui1","16","8"
"61328","4380","23","ui1","16","8"
"89718","3900","24","ui1","25","8"
"119357","8525","25","ui1","15","8"
"76242","5082","26","ui1","19","8"
"238347","10362","0","ui2","25","9"
"338851","9681","1","ui2","35","9"
"73351","2934","2","ui2","29","9"
"143526","7973","3","ui2","18","9"
"108632","5172","4","ui2","21","9"
"50513","2296","5","ui2","21","9"
"536125","21445","6","ui2","34","9"
"495393","19053","7","ui2","36","9"
"111131","6173","8","ui2","25","9"
"260952","18639","9","ui2","15","9"
"195767","12235","10","ui2","26","9"
"312433","13584","11","ui2","30","9"
"138163","6007","12","ui2","32","9"
"90548","4527","13","ui2","17","9"
"400600","9770","14","ui1","44","9"
"43230","2275","15","ui1","19","9"
"198938","8649","16","ui1","23","9"
"402338","9356","17","ui1","41","9"
"229233","8186","18","ui1","30","9"
"911081","33743","19","ui1","32","9"
"51203","4266","20","ui1","9","9"
"319474","13311","21","ui1","22","9"
"116829","8344","22","ui1","16","9"
"219544","15681","23","ui1","14","9"
"259711","11291","24","ui1","25","9"
"330304","23593","25","ui1","17","9"
"92057","6137","26","ui1","16","9"
